Turns,Estate,Copper,Warehouse,Treasure Map,Courtyard
6,3,7,2,3,0
7,3,7,2,4,0
7,3,7,1,4,0
7,3,7,4,2,0
8,3,7,2,4,0
17,3,7,4,2,0
22,3,7,7,3,0
10,3,7,2,4,0
11,3,7,3,5,0
9,3,7,4,3,0
5,3,7,1,3,0
6,3,7,2,3,0
18,3,7,4,3,0
13,3,7,3,4,0
5,3,7,2,2,0
10,3,7,4,3,0
9,3,7,1,4,0
11,3,7,5,3,0
7,3,7,1,3,0
17,3,7,5,3,0
5,3,7,1,3,0
6,3,7,1,3,0
6,3,7,2,3,0
8,3,7,2,4,0
35,3,7,9,2,0
7,3,7,3,3,0
17,3,7,6,3,0
34,3,7,5,2,0
23,3,7,6,3,0
7,3,7,2,3,0
17,3,7,6,3,0
19,3,7,6,3,0
8,3,7,2,4,0
8,3,7,3,3,0
6,3,7,2,2,0
12,3,7,4,3,0
9,3,7,2,4,0
12,3,7,4,4,0
11,3,7,2,5,0
8,3,7,3,3,0
8,3,7,3,3,0
16,3,7,6,2,0
5,3,7,1,3,0
6,3,7,2,3,0
5,3,7,1,3,0
6,3,7,1,3,0
19,3,7,5,4,0
6,3,7,2,3,0
12,3,7,4,2,0
5,3,7,1,2,0
7,3,7,3,3,0
6,3,7,3,2,0
6,3,7,2,2,0
8,3,7,1,3,0
14,3,7,4,3,0
5,3,7,1,3,0
8,3,7,3,3,0
65,3,7,9,3,0
4,3,7,1,2,0
11,3,7,2,5,0
8,3,7,1,4,0
6,3,7,1,2,0
12,3,7,4,2,0
10,3,7,4,3,0
19,3,7,7,2,0
10,3,7,4,3,0
12,3,7,5,3,0
11,3,7,3,4,0
7,3,7,3,3,0
9,3,7,2,4,0
6,3,7,2,3,0
16,3,7,6,2,0
5,3,7,2,2,0
7,3,7,3,3,0
7,3,7,3,3,0
26,3,7,8,2,0
6,3,7,2,3,0
7,3,7,2,3,0
14,3,7,5,3,0
17,3,7,4,3,0
11,3,7,5,2,0
27,3,7,7,2,0
7,3,7,2,3,0
6,3,7,2,2,0
8,3,7,2,4,0
4,3,7,1,2,0
6,3,7,1,3,0
10,3,7,4,3,0
13,3,7,3,5,0
8,3,7,3,4,0
6,3,7,3,2,0
9,3,7,4,2,0
6,3,7,0,3,0
12,3,7,5,3,0
7,3,7,1,3,0
11,3,7,4,3,0
12,3,7,4,3,0
13,3,7,6,2,0
32,3,7,8,2,0
23,3,7,6,2,0
7,3,7,2,3,0
7,3,7,2,4,0
12,3,7,4,4,0
5,3,7,1,2,0
9,3,7,4,3,0
5,3,7,0,2,0
14,3,7,6,3,0
7,3,7,3,3,0
5,3,7,1,3,0
8,3,7,2,4,0
7,3,7,2,4,0
15,3,7,5,2,0
6,3,7,0,3,0
5,3,7,1,3,0
6,3,7,2,3,0
8,3,7,2,4,0
15,3,7,5,4,0
14,3,7,5,3,0
9,3,7,4,3,0
11,3,7,4,4,0
7,3,7,2,2,0
